Recency,Frequency,Monetary,Avg_Order_Value,Purchase_Rate
2,19,4896.66,257.718947368421,6.333333333333333
14,2,2906.85,1453.425,0.13333333333333333
367,1,173.55,173.55,0.002717391304347826
3,1,172.06,172.06,0.25
21,5,5005.46,1001.092,0.22727272727272727
22,1,133.4,133.4,0.043478260869565216
58,1,1002.3100000000001,1002.3100000000001,0.01694915254237288
243,1,476.49,476.49,0.004098360655737705
44,1,449.45,449.45,0.022222222222222223
22,4,4067.29,1016.8225,0.17391304347826086
156,2,197.88,98.94,0.012738853503184714
11,6,8933.52,1488.92,0.5
17,3,428.57,142.85666666666665,0.16666666666666666
134,1,707.09,707.09,0.007407407407407408
53,2,5.684341886080802e-14,2.842170943040401e-14,0.037037037037037035
73,6,2466.86,411.1433333333334,0.08108108108108109
44,4,3153.89,788.4725,0.08888888888888889
58,12,1917.78,159.815,0.2033898305084746
71,2,947.4,473.7,0.027777777777777776
94,2,826.88,413.44,0.021052631578947368
2,4,1124.01,281.0025,1.3333333333333333
46,7,1303.63,186.23285714285717,0.14893617021276595
10,8,1212.05,151.50625,0.7272727272727273
8,3,733.89,244.63,0.3333333333333333
143,3,724.0400000000001,241.3466666666667,0.020833333333333332
2,49,18740.92,382.46775510204077,16.333333333333332
31,13,6229.48,479.1907692307692,0.40625
29,9,2848.23,316.47,0.3
17,30,7116.47,237.21566666666666,1.6666666666666667
54,1,723.38,723.38,0.01818181818181818
1,20,6546.58,327.329,10.0
23,9,13117.01,1457.4455555555555,0.375
4,1,680.99,680.99,0.2
4,3,477.3,159.1,0.6
28,4,3281.63,820.4075,0.13793103448275862
23,11,5590.86,508.26,0.4583333333333333
17,13,2327.13,179.01000000000002,0.7222222222222222
33,8,4495.27,561.90875,0.23529411764705882
10,3,1298.66,432.8866666666667,0.2727272727272727
336,1,334.93,334.93,0.002967359050445104
5,10,5417.93,541.793,1.6666666666666667
39,1,460.40000000000003,460.40000000000003,0.025
63,2,263.21000000000004,131.60500000000002,0.03125
166,3,416.79,138.93,0.017964071856287425
10,13,1139.3500000000001,87.6423076923077,1.1818181818181819
82,1,1043.1,1043.1,0.012048192771084338
21,3,403.70000000000005,134.5666666666667,0.13636363636363635
23,13,4206.27,323.5592307692308,0.5416666666666666
315,2,2089.68,1044.84,0.006329113924050633
96,5,3723.87,744.774,0.05154639175257732
338,1,-1126.0,-1126.0,0.0029498525073746312
18,4,114.0,28.5,0.21052631578947367
301,1,-4.5,-4.5,0.0033112582781456954
233,1,73.5,73.5,0.004273504273504274
134,4,1258.06,314.515,0.02962962962962963
26,2,398.27,199.135,0.07407407407407407
284,1,176.5,176.5,0.0035087719298245615
143,2,982.5699999999999,491.28499999999997,0.013888888888888888
66,2,138.03,69.015,0.029850746268656716
85,2,586.79,293.395,0.023255813953488372
267,1,1017.68,1017.68,0.0037313432835820895
353,1,383.7,383.7,0.002824858757062147
78,2,1312.06,656.03,0.02531645569620253
28,6,2464.89,410.815,0.20689655172413793
1,5,2056.89,411.378,2.5
64,1,340.84,340.84,0.015384615384615385
79,6,2582.51,430.41833333333335,0.075
143,1,599.68,599.68,0.006944444444444444
39,2,192.72,96.36,0.05
2,13,1745.57,134.27461538461537,4.333333333333333
9,8,4485.72,560.715,0.8
1,3,1316.66,438.8866666666667,1.5
82,3,348.71000000000004,116.23666666666668,0.03614457831325301
9,8,1922.28,240.285,0.8
60,5,1623.63,324.726,0.08196721311475409
15,1,125.22,125.22,0.0625
30,1,349.83000000000004,349.83000000000004,0.03225806451612903
131,1,1089.18,1089.18,0.007575757575757576
92,2,716.35,358.175,0.021505376344086023
8,5,4106.82,821.3639999999999,0.5555555555555556
29,1,363.95,363.95,0.03333333333333333
22,5,3852.5,770.5,0.21739130434782608
20,19,13309.039999999999,700.4757894736841,0.9047619047619048
30,3,981.18,327.06,0.0967741935483871
30,2,355.7,177.85,0.06451612903225806
75,2,1000.39,500.195,0.02631578947368421
47,3,1141.5,380.5,0.0625
198,2,207.79999999999998,103.89999999999999,0.010050251256281407
166,1,95.19999999999999,95.19999999999999,0.005988023952095809
79,1,964.83,964.83,0.0125
358,1,168.0,168.0,0.002785515320334262
39,2,437.82,218.91,0.05
8,14,3652.25,260.875,1.5555555555555556
50,2,603.71,301.855,0.0392156862745098
16,5,11990.960000000001,2398.192,0.29411764705882354
2,2,1.0658141036401503e-14,5.329070518200751e-15,0.6666666666666666
311,3,536.21,178.73666666666668,0.009615384615384616
5,4,2101.39,525.3475,0.6666666666666666
303,1,238.85,238.85,0.003289473684210526
8,7,3781.7400000000002,540.2485714285715,0.7777777777777778
261,1,456.9,456.9,0.003816793893129771
282,2,131.17,65.585,0.007067137809187279
73,2,346.7,173.35,0.02702702702702703
23,11,9114.94,828.6309090909091,0.4583333333333333
2,35,4064.9900000000002,116.14257142857143,11.666666666666666
40,2,519.61,259.805,0.04878048780487805
9,3,1004.72,334.9066666666667,0.3
227,1,160.54000000000002,160.54000000000002,0.0043859649122807015
316,1,218.45,218.45,0.0031545741324921135
36,6,1306.98,217.83,0.16216216216216217
35,4,595.4,148.85,0.1111111111111111
21,4,2753.36,688.34,0.18181818181818182
73,3,410.72,136.90666666666667,0.04054054054054054
247,1,415.7,415.7,0.004032258064516129
40,1,197.71,197.71,0.024390243902439025
239,2,511.36,255.68,0.008333333333333333
3,18,7187.34,399.2966666666667,4.5
4,18,1893.95,105.21944444444445,3.6
234,4,1982.81,495.7025,0.01702127659574468
17,2,179.94000000000003,89.97000000000001,0.1111111111111111
8,1,144.0,144.0,0.1111111111111111
39,1,214.89999999999998,214.89999999999998,0.025
29,2,646.68,323.34,0.06666666666666667
190,3,9861.38,3287.1266666666666,0.015706806282722512
317,1,452.84999999999997,452.84999999999997,0.0031446540880503146
92,2,437.6,218.8,0.021505376344086023
109,3,418.09999999999997,139.36666666666665,0.02727272727272727
38,11,3320.2200000000003,301.83818181818185,0.28205128205128205
51,2,618.27,309.135,0.038461538461538464
19,5,3683.13,736.626,0.25
10,9,3002.68,333.63111111111107,0.8181818181818182
29,7,1032.58,147.51142857142855,0.23333333333333334
29,11,2581.04,234.64,0.36666666666666664
190,6,569.5600000000001,94.92666666666668,0.031413612565445025
59,1,153.12,153.12,0.016666666666666666
22,1,739.1999999999999,739.1999999999999,0.043478260869565216
79,2,254.18,127.09,0.025
365,1,-7.5,-7.5,0.00273224043715847
58,2,3.552713678800501e-15,1.7763568394002505e-15,0.03389830508474576
78,3,1126.85,375.6166666666666,0.0379746835443038
23,7,2057.99,293.9985714285714,0.2916666666666667
52,1,1193.32,1193.32,0.018867924528301886
58,2,643.59,321.795,0.03389830508474576
31,6,3218.98,536.4966666666667,0.1875
278,1,315.6,315.6,0.0035842293906810036
2,4,2291.19,572.7975,1.3333333333333333
85,5,657.25,131.45,0.05813953488372093
29,1,355.53,355.53,0.03333333333333333
22,1,177.31,177.31,0.043478260869565216
16,13,3214.81,247.2930769230769,0.7647058823529411
15,3,1339.41,446.47,0.1875
2,23,13612.07,591.8291304347825,7.666666666666667
232,1,180.1,180.1,0.004291845493562232
276,1,305.1,305.1,0.0036101083032490976
106,2,641.13,320.565,0.018691588785046728
212,3,2614.32,871.44,0.014084507042253521
23,13,6388.35,491.4115384615385,0.5416666666666666
11,7,4478.53,639.79,0.5833333333333334
4,4,769.61,192.4025,0.8
10,2,1270.88,635.44,0.18181818181818182
57,1,640.5,640.5,0.017241379310344827
59,5,2140.63,428.12600000000003,0.08333333333333333
90,2,1689.18,844.59,0.02197802197802198
67,10,5953.25,595.325,0.14705882352941177
33,1,671.69,671.69,0.029411764705882353
239,1,486.1,486.1,0.004166666666666667
24,3,1174.58,391.52666666666664,0.12
115,1,185.9,185.9,0.008620689655172414
25,3,1013.26,337.75333333333333,0.11538461538461539
128,6,3344.64,557.4399999999999,0.046511627906976744
130,1,477.91,477.91,0.007633587786259542
34,5,1755.38,351.076,0.14285714285714285
5,2,1346.97,673.485,0.3333333333333333
22,13,3669.92,282.3015384615385,0.5652173913043478
155,1,318.05,318.05,0.00641025641025641
107,4,603.71,150.9275,0.037037037037037035
3,1,314.44,314.44,0.25
335,1,114.0,114.0,0.002976190476190476
322,2,914.53,457.265,0.006191950464396285
149,2,2209.85,1104.925,0.013333333333333334
11,5,601.98,120.396,0.4166666666666667
17,8,3982.72,497.84,0.4444444444444444
11,5,1152.06,230.41199999999998,0.4166666666666667
19,1,686.05,686.05,0.05
30,1,91.68,91.68,0.03225806451612903
11,1,245.1,245.1,0.08333333333333333
1,12,3817.08,318.09,6.0
8,10,4863.88,486.38800000000003,1.1111111111111112
325,2,61.75,30.875,0.006134969325153374
359,1,-227.44,-227.44,0.002777777777777778
58,1,620.13,620.13,0.01694915254237288
7,6,3743.18,623.8633333333333,0.75
151,4,1607.73,401.9325,0.02631578947368421
10,6,2986.15,497.69166666666666,0.5454545454545454
330,1,225.89999999999998,225.89999999999998,0.0030211480362537764
5,2,610.52,305.26,0.3333333333333333
12,7,1919.31,274.1871428571429,0.5384615384615384
25,6,1331.39,221.89833333333334,0.23076923076923078
42,13,17588.26,1352.943076923077,0.3023255813953488
52,9,1058.67,117.63000000000001,0.16981132075471697
1,4,880.81,220.2025,2.0
15,27,13677.59,506.5774074074074,1.6875
4,31,12288.22,396.3941935483871,6.2
4,20,8221.09,411.0545,4.0
8,7,2283.63,326.23285714285714,0.7777777777777778
28,6,2863.08,477.18,0.20689655172413793
372,1,89.14,89.14,0.002680965147453083
114,1,4873.8099999999995,4873.8099999999995,0.008695652173913044
26,2,1247.61,623.805,0.07407407407407407
206,1,389.01,389.01,0.004830917874396135
28,6,1035.8,172.63333333333333,0.20689655172413793
121,6,830.96,138.49333333333334,0.04918032786885246
70,2,869.67,434.835,0.028169014084507043
7,4,582.1,145.525,0.5
21,5,939.02,187.804,0.22727272727272727
8,6,4867.99,811.3316666666666,0.6666666666666666
80,2,797.71,398.855,0.024691358024691357
20,1,219.0,219.0,0.047619047619047616
64,2,274.7,137.35,0.03076923076923077
7,10,2220.84,222.084,1.25
15,14,6814.24,486.7314285714286,0.875
292,1,603.42,603.42,0.0034129692832764505
30,16,2616.32,163.52,0.5161290322580645
3,26,9294.1,357.4653846153846,6.5
97,4,1130.57,282.6425,0.04081632653061224
23,17,4241.63,249.50764705882352,0.7083333333333334
1,1,848.55,848.55,0.5
9,5,4708.86,941.7719999999999,0.5
106,1,353.86,353.86,0.009345794392523364
4,2,1053.49,526.745,0.4
151,3,980.98,326.99333333333334,0.019736842105263157
71,1,238.25,238.25,0.013888888888888888
5,3,608.1,202.70000000000002,0.5
3,29,5713.28,197.00965517241377,7.25
32,7,2628.98,375.56857142857143,0.21212121212121213
85,6,904.33,150.72166666666666,0.06976744186046512
4,5,725.07,145.014,1.0
5,4,1031.41,257.8525,0.6666666666666666
371,1,427.8,427.8,0.002688172043010753
28,7,2609.1,372.7285714285714,0.2413793103448276
11,9,3947.7,438.6333333333333,0.75
71,4,836.33,209.0825,0.05555555555555555
114,1,453.01,453.01,0.008695652173913044
24,14,18793.41,1342.3864285714285,0.56
180,1,236.26000000000002,236.26000000000002,0.0055248618784530384
234,1,383.95,383.95,0.00425531914893617
353,1,110.39999999999999,110.39999999999999,0.002824858757062147
315,2,779.5699999999999,389.78499999999997,0.006329113924050633
333,1,234.0,234.0,0.0029940119760479044
372,1,155.35,155.35,0.002680965147453083
78,2,1013.04,506.52,0.02531645569620253
64,1,427.6,427.6,0.015384615384615385
134,2,546.43,273.215,0.014814814814814815
52,10,9120.39,912.039,0.18867924528301888
2,11,4196.01,381.4554545454546,3.6666666666666665
1,224,29072.1,129.7861607142857,112.0
4,8,3868.2,483.525,1.6
129,1,275.88,275.88,0.007692307692307693
81,1,4366.78,4366.78,0.012195121951219513
4,11,21024.01,1911.2736363636361,2.2
236,5,2949.12,589.824,0.02109704641350211
250,4,2203.2,550.8,0.01593625498007968
87,1,112.07999999999998,112.07999999999998,0.011363636363636364
16,19,4227.7,222.51052631578946,1.1176470588235294
117,2,2791.59,1395.795,0.01694915254237288
52,3,1531.44,510.48,0.05660377358490566
8,2,1898.52,949.26,0.2222222222222222
138,2,494.08,247.04,0.014388489208633094
317,1,1693.88,1693.88,0.0031446540880503146
4,7,6989.63,998.5185714285715,1.4
239,1,1143.6,1143.6,0.004166666666666667
211,1,1351.45,1351.45,0.0047169811320754715
60,1,892.47,892.47,0.01639344262295082
17,6,1351.24,225.20666666666668,0.3333333333333333
20,7,804.23,114.89,0.3333333333333333
21,12,3868.7,322.39166666666665,0.5454545454545454
21,5,707.72,141.544,0.22727272727272727
5,6,2273.32,378.8866666666667,1.0
2,8,1603.87,200.48375,2.6666666666666665
9,2,574.42,287.21,0.2
3,2,305.71,152.855,0.5
10,3,463.66,154.55333333333334,0.2727272727272727
65,1,91.85,91.85,0.015151515151515152
192,1,324.92,324.92,0.0051813471502590676
374,1,192.60000000000002,192.60000000000002,0.0026666666666666666
257,1,400.53999999999996,400.53999999999996,0.003875968992248062
335,2,545.48,272.74,0.005952380952380952
53,2,860.41,430.205,0.037037037037037035
19,1,430.48,430.48,0.05
360,3,194.18,64.72666666666667,0.008310249307479225
10,3,6977.04,2325.68,0.2727272727272727
184,2,412.58,206.29,0.010810810810810811
37,3,483.65000000000003,161.21666666666667,0.07894736842105263
168,2,484.36,242.18,0.011834319526627219
261,3,514.85,171.61666666666667,0.011450381679389313
45,1,229.64000000000001,229.64000000000001,0.021739130434782608
102,1,125.92,125.92,0.009708737864077669
148,2,1063.46,531.73,0.013422818791946308
96,2,572.2,286.1,0.020618556701030927
281,1,166.04,166.04,0.0035460992907801418
178,2,1517.88,758.94,0.0111731843575419
3,4,942.34,235.585,1.0
214,1,92.72,92.72,0.004651162790697674
71,3,918.98,306.32666666666665,0.041666666666666664
75,5,1759.5,351.9,0.06578947368421052
60,1,397.12,397.12,0.01639344262295082
3,8,1468.1200000000001,183.51500000000001,2.0
6,3,430.15000000000003,143.38333333333335,0.42857142857142855
3,6,1018.71,169.785,1.5
322,3,253.05,84.35000000000001,0.009287925696594427
38,7,6748.4,964.0571428571428,0.1794871794871795
262,1,215.05,215.05,0.0038022813688212928
32,2,383.03,191.515,0.06060606060606061
145,1,417.38,417.38,0.00684931506849315
283,1,312.38,312.38,0.0035211267605633804
59,4,2612.86,653.215,0.06666666666666667
173,1,134.1,134.1,0.005747126436781609
34,2,683.13,341.565,0.05714285714285714
3,16,5583.62,348.97625,4.0
144,6,2714.27,452.37833333333333,0.041379310344827586
5,26,3876.4,149.09230769230768,4.333333333333333
70,2,1118.99,559.495,0.028169014084507043
66,9,1680.76,186.7511111111111,0.13432835820895522
29,2,325.96000000000004,162.98000000000002,0.06666666666666667
267,4,354.09,88.5225,0.014925373134328358
22,1,871.54,871.54,0.043478260869565216
31,2,1050.8899999999999,525.4449999999999,0.0625
97,1,135.18,135.18,0.01020408163265306
290,2,299.75,149.875,0.006872852233676976
108,9,1881.7,209.07777777777778,0.08256880733944955
79,5,1289.15,257.83000000000004,0.0625
373,1,38.1,38.1,0.00267379679144385
8,8,2162.68,270.335,0.8888888888888888
211,2,1106.4,553.2,0.009433962264150943
52,2,504.2,252.1,0.03773584905660377
138,1,147.12,147.12,0.007194244604316547
26,3,1548.07,516.0233333333333,0.1111111111111111
283,1,559.12,559.12,0.0035211267605633804
26,10,3986.22,398.62199999999996,0.37037037037037035
186,6,1607.0600000000002,267.84333333333336,0.03208556149732621
366,1,-14.899999999999999,-14.899999999999999,0.0027247956403269754
84,2,380.64,190.32,0.023529411764705882
327,2,599.97,299.985,0.006097560975609756
282,1,374.0,374.0,0.0035335689045936395
143,2,343.2300000000001,171.61500000000004,0.013888888888888888
58,2,2218.02,1109.01,0.03389830508474576
4,12,1535.77,127.98083333333334,2.4
18,3,841.64,280.5466666666667,0.15789473684210525
45,4,552.5699999999999,138.14249999999998,0.08695652173913043
276,1,298.0,298.0,0.0036101083032490976
9,2,1463.04,731.52,0.2
25,4,703.47,175.8675,0.15384615384615385
88,1,309.05,309.05,0.011235955056179775
63,4,1158.27,289.5675,0.0625
68,3,1351.09,450.3633333333333,0.043478260869565216
214,4,313.77,78.4425,0.018604651162790697
24,1,380.46999999999997,380.46999999999997,0.04
186,3,331.0,110.33333333333333,0.016042780748663103
31,1,188.14,188.14,0.03125
42,3,347.3,115.76666666666667,0.06976744186046512
205,2,216.5,108.25,0.009708737864077669
9,36,16293.1,452.5861111111111,3.6
265,1,138.68,138.68,0.0037593984962406013
18,2,509.58,254.79,0.10526315789473684
12,5,2919.81,583.962,0.38461538461538464
59,4,246.0,61.5,0.06666666666666667
40,8,2128.83,266.10375,0.1951219512195122
23,8,3075.04,384.38,0.3333333333333333
3,5,1662.3,332.46,1.25
5,5,2483.63,496.726,0.8333333333333334
149,2,363.65,181.825,0.013333333333333334
139,5,2982.35,596.47,0.03571428571428571
128,1,594.0,594.0,0.007751937984496124
8,8,1301.44,162.68,0.8888888888888888
17,1,164.23,164.23,0.05555555555555555
4,50,16389.74,327.7948,10.0
161,1,405.38,405.38,0.006172839506172839
64,1,176.97,176.97,0.015384615384615385
88,5,929.95,185.99,0.056179775280898875
5,2,694.05,347.025,0.3333333333333333
35,5,2062.7000000000003,412.5400000000001,0.1388888888888889
122,2,105.1,52.55,0.016260162601626018
78,4,409.9,102.475,0.05063291139240506
22,20,33462.81,1673.1405,0.8695652173913043
24,4,606.28,151.57,0.16
2,8,2156.45,269.55625,2.6666666666666665
17,5,1012.9,202.57999999999998,0.2777777777777778
15,4,1504.27,376.0675,0.25
26,1,114.14,114.14,0.037037037037037035
64,8,11581.8,1447.725,0.12307692307692308
46,4,876.29,219.0725,0.0851063829787234
131,3,683.9,227.96666666666667,0.022727272727272728
301,1,-3.75,-3.75,0.0033112582781456954
36,2,604.51,302.255,0.05405405405405406
288,1,462.95,462.95,0.0034602076124567475
144,11,1407.29,127.93545454545455,0.07586206896551724
16,8,2053.7,256.7125,0.47058823529411764
31,10,4143.02,414.302,0.3125
2,3,1843.0,614.3333333333334,1.0
9,8,1042.07,130.25875,0.8
6,5,1382.8400000000001,276.56800000000004,0.7142857142857143
10,1,329.85,329.85,0.09090909090909091
1,14,4734.26,338.1614285714286,7.0
306,1,108.07,108.07,0.003257328990228013
4,12,3979.04,331.58666666666664,2.4
7,2,266.39,133.195,0.25
8,9,1841.03,204.55888888888887,1.0
89,1,771.91,771.91,0.011111111111111112
10,1,160.18,160.18,0.09090909090909091
3,4,1194.75,298.6875,1.0
112,1,135.95,135.95,0.008849557522123894
7,4,452.24,113.06,0.5
4,89,10930.26,122.81191011235956,17.8
198,1,144.8,144.8,0.005025125628140704
212,1,738.6,738.6,0.004694835680751174
156,1,39.239999999999995,39.239999999999995,0.006369426751592357
156,12,7092.06,591.005,0.07643312101910828
30,2,372.21999999999997,186.10999999999999,0.06451612903225806
240,2,377.2,188.6,0.008298755186721992
19,1,97.5,97.5,0.05
1,3,1215.6200000000001,405.2066666666667,1.5
74,3,545.0,181.66666666666666,0.04
292,1,535.32,535.32,0.0034129692832764505
3,19,6854.51,360.7636842105263,4.75
31,3,409.5,136.5,0.09375
23,2,503.76,251.88,0.08333333333333333
23,4,414.76,103.69,0.16666666666666666
4,5,902.22,180.44400000000002,1.0
78,2,200.72,100.36,0.02531645569620253
22,7,1197.94,171.1342857142857,0.30434782608695654
196,3,455.88,151.96,0.015228426395939087
107,3,534.85,178.28333333333333,0.027777777777777776
4,15,9797.92,653.1946666666666,3.0
318,1,120.94999999999999,120.94999999999999,0.003134796238244514
106,3,149.05,49.68333333333334,0.028037383177570093
12,22,5613.43,255.1559090909091,1.6923076923076923
174,3,468.95,156.31666666666666,0.017142857142857144
56,1,81.57,81.57,0.017543859649122806
323,2,178.46999999999997,89.23499999999999,0.006172839506172839
372,1,50.550000000000004,50.550000000000004,0.002680965147453083
9,11,1311.6200000000001,119.23818181818183,1.1
1,15,4786.99,319.13266666666664,7.5
3,16,3365.43,210.339375,4.0
53,5,3346.28,669.2560000000001,0.09259259259259259
73,3,789.89,263.2966666666667,0.04054054054054054
7,1,204.0,204.0,0.125
16,29,7272.75,250.7844827586207,1.7058823529411764
4,12,2584.4,215.36666666666667,2.4
64,2,689.9,344.95,0.03076923076923077
1,8,936.15,117.01875,4.0
114,6,6912.0,1152.0,0.05217391304347826
23,3,659.68,219.89333333333332,0.125
31,3,1247.5,415.8333333333333,0.09375
11,2,799.48,399.74,0.16666666666666666
39,3,996.52,332.17333333333335,0.075
357,1,190.55,190.55,0.002793296089385475
55,2,642.77,321.385,0.03571428571428571
58,3,886.63,295.54333333333335,0.05084745762711865
138,3,881.07,293.69,0.02158273381294964
80,3,908.46,302.82,0.037037037037037035
9,2,676.99,338.495,0.2
254,2,471.57,235.785,0.00784313725490196
291,1,560.47,560.47,0.003424657534246575
99,1,305.28000000000003,305.28000000000003,0.01
31,2,629.31,314.655,0.0625
32,18,3079.1,171.0611111111111,0.5454545454545454
14,5,1805.91,361.182,0.3333333333333333
64,2,656.6800000000001,328.34000000000003,0.03076923076923077
9,28,5684.61,203.0217857142857,2.8
212,1,348.15000000000003,348.15000000000003,0.004694835680751174
64,4,1201.96,300.49,0.06153846153846154
25,3,271.40000000000003,90.46666666666668,0.11538461538461539
250,1,183.4,183.4,0.00398406374501992
254,1,307.53,307.53,0.00392156862745098
72,1,248.61,248.61,0.0136986301369863
191,1,346.98,346.98,0.005208333333333333
13,4,1119.49,279.8725,0.2857142857142857
373,1,205.86,205.86,0.00267379679144385
24,3,430.9,143.63333333333333,0.12
82,1,115.46000000000001,115.46000000000001,0.012048192771084338
10,2,344.0,172.0,0.18181818181818182
1,27,3717.82,137.69703703703703,13.5
192,1,228.8,228.8,0.0051813471502590676
267,1,177.15,177.15,0.0037313432835820895
130,1,919.61,919.61,0.007633587786259542
1,4,729.27,182.3175,2.0
1,43,12432.28,289.1227906976744,21.5
4,5,220.10000000000002,44.02,1.0
179,1,58.08,58.08,0.005555555555555556
1,21,27964.48,1331.6419047619047,10.5
126,10,3595.48,359.548,0.07874015748031496
4,2,303.75,151.875,0.4
158,3,272.38,90.79333333333334,0.018867924528301886
3,118,57385.88,486.3210169491525,29.5
9,18,8689.39,482.7438888888889,1.8
21,2,319.82,159.91,0.09090909090909091
71,6,459.83,76.63833333333334,0.08333333333333333
267,13,7741.47,595.4976923076923,0.048507462686567165
21,16,1708.8600000000001,106.80375000000001,0.7272727272727273
71,1,74.39999999999999,74.39999999999999,0.013888888888888888
33,14,5893.32,420.95142857142855,0.4117647058823529
1,41,28658.88,698.9970731707317,20.5
99,1,207.35999999999999,207.35999999999999,0.01
234,1,101.19,101.19,0.00425531914893617
1,27,6336.29,234.6774074074074,13.5
40,1,243.94,243.94,0.024390243902439025
3,6,1098.48,183.08,1.5
129,2,59.5,29.75,0.015384615384615385
44,5,1524.07,304.81399999999996,0.1111111111111111
373,1,350.06,350.06,0.00267379679144385
3,5,766.84,153.368,1.25
31,8,1452.8700000000001,181.60875000000001,0.25
1,40,10510.0,262.75,20.0
9,14,2205.63,157.54500000000002,1.4
117,2,485.19,242.595,0.01694915254237288
22,8,984.91,123.11375,0.34782608695652173
20,7,1125.0,160.71428571428572,0.3333333333333333
239,1,30.599999999999998,30.599999999999998,0.004166666666666667
269,2,254.73,127.365,0.007407407407407408
94,2,922.39,461.195,0.021052631578947368
90,3,3866.33,1288.7766666666666,0.03296703296703297
5,10,2056.29,205.629,1.6666666666666667
78,1,259.17,259.17,0.012658227848101266
94,1,64.0,64.0,0.010526315789473684
23,4,1039.3,259.825,0.16666666666666666
262,1,77.3,77.3,0.0038022813688212928
274,2,109.8,54.9,0.007272727272727273
73,7,1740.63,248.6614285714286,0.0945945945945946
197,1,3096.0,3096.0,0.005050505050505051
50,11,2545.38,231.39818181818183,0.21568627450980393
11,9,3605.08,400.56444444444446,0.75
22,6,962.39,160.39833333333334,0.2608695652173913
16,8,5055.79,631.97375,0.47058823529411764
108,3,423.72,141.24,0.027522935779816515
85,6,2385.8,397.6333333333334,0.06976744186046512
19,1,307.09,307.09,0.05
333,1,110.95,110.95,0.0029940119760479044
40,5,614.77,122.954,0.12195121951219512
26,1,228.91,228.91,0.037037037037037035
10,4,712.8000000000001,178.20000000000002,0.36363636363636365
29,17,3348.48,196.96941176470588,0.5666666666666667
14,4,1676.06,419.015,0.26666666666666666
